#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:02:20.128821853Z,0.20967741935483872,fail_ratio,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:08:20.588246607Z,0.14285714285714285,fail_ratio,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T19:02:23.212111108Z,0.25925925925925924,fail_ratio,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:01:30.337741688Z,0.2962962962962963,fail_ratio,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:50:32.434967144Z,0.28205128205128205,fail_ratio,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:41:19.16220484Z,53,global_ips,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:45:19.317616567Z,24,global_ips,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:48:19.45215209Z,20,global_ips,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:59:19.980869938Z,39,global_ips,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:02:20.128821853Z,20,global_ips,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:08:20.588246607Z,27,global_ips,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T19:02:23.212111108Z,40,global_ips,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:01:30.337741688Z,48,global_ips,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:50:32.434967144Z,29,global_ips,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:41:19.16220484Z,12,global_ports,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:45:19.317616567Z,9,global_ports,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:48:19.45215209Z,8,global_ports,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:59:19.980869938Z,9,global_ports,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:02:20.128821853Z,9,global_ports,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:08:20.588246607Z,9,global_ports,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,5,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T19:02:23.212111108Z,6,global_ports,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
