#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,452,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-30T22:51:47.886820542Z,1.52,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (AI Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-29T15:43:54.093927046Z,docs.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-31T18:41:41.672085447Z,docs.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T00:12:33.972999679Z,www.youtube.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T15:45:45.916513851Z,docs.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T16:20:47.206312319Z,www.youtube.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T15:56:27.888876678Z,www.youtube.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-05T15:27:18.432231163Z,clients6.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T13:49:28.71664513Z,docs.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T17:17:36.30771629Z,play.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T15:48:55.968090518Z,docs.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T15:36:19.171991931Z,android.clients.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,453,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-12T01:20:03.815068037Z,docs.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-29T15:43:54.093927046Z,5.38,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-31T18:41:41.672085447Z,0.19,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T00:12:33.972999679Z,0.58,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T15:45:45.916513851Z,7.06,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T16:20:47.206312319Z,5.31,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T15:56:27.888876678Z,0.11,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-05T15:27:18.432231163Z,1.1,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T13:49:28.71664513Z,11.02,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T17:17:36.30771629Z,4.16,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T15:48:55.968090518Z,49.69,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T15:36:19.171991931Z,4.31,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,454,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-12T01:20:03.815068037Z,0.72,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-29T15:43:54.093927046Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-31T18:41:41.672085447Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T00:12:33.972999679Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T15:45:45.916513851Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T16:20:47.206312319Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T15:56:27.888876678Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-05T15:27:18.432231163Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T13:49:28.71664513Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T17:17:36.30771629Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T15:48:55.968090518Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T15:36:19.171991931Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,455,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-12T01:20:03.815068037Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-29T15:43:54.093927046Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-31T18:41:41.672085447Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T00:12:33.972999679Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T15:45:45.916513851Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T16:20:47.206312319Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T15:56:27.888876678Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-05T15:27:18.432231163Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T13:49:28.71664513Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T17:17:36.30771629Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,456,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T15:48:55.968090518Z,4,severity,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-29T15:43:54.093927046Z,5.9399999999999995,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-31T18:41:41.672085447Z,0.33,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T00:12:33.972999679Z,1.3599999999999999,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T15:45:45.916513851Z,7.34,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T16:20:47.206312319Z,6.029999999999999,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T15:56:27.888876678Z,0.22,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-05T15:27:18.432231163Z,1.71,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T13:49:28.71664513Z,11.83,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T17:17:36.30771629Z,6.78,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T15:48:55.968090518Z,52.46,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T15:36:19.171991931Z,6.119999999999999,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,457,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-12T01:20:03.815068037Z,1.48,total_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-29T15:43:54.093927046Z,0.56,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-03-31T18:41:41.672085447Z,0.14,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-01T00:12:33.972999679Z,0.78,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T15:45:45.916513851Z,0.28,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-02T16:20:47.206312319Z,0.72,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T15:56:27.888876678Z,0.11,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-05T15:27:18.432231163Z,0.61,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T13:49:28.71664513Z,0.81,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-06T17:17:36.30771629Z,2.62,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T15:48:55.968090518Z,2.77,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-10T15:36:19.171991931Z,1.81,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,458,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-12T01:20:03.815068037Z,0.76,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,459,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-16T15:51:00.82150827Z,118,connections,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Strukturalni anomalie provozu (ML),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,460,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-16T15:51:00.82150827Z,play.google.com,domain,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Strukturalni anomalie provozu (ML),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,461,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-16T15:51:00.82150827Z,7.04,down_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Strukturalni anomalie provozu (ML),10:7c:61:06:b1:fc,home
,,462,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-16T15:51:00.82150827Z,0.3135593220338983,fail_ratio,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Strukturalni anomalie provozu (ML),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,463,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-16T15:51:00.82150827Z,53,global_ips,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Strukturalni anomalie provozu (ML),10:7c:61:06:b1:fc,home
,,464,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-16T15:51:00.82150827Z,10,global_ports,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Strukturalni anomalie provozu (ML),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,465,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-16T15:51:00.82150827Z,UDP/443,service,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Strukturalni anomalie provozu (ML),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,466,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-16T15:51:00.82150827Z,0.53,up_mb,anomaly_ml,142.251.38.142,PWRHOUSE,192.168.69.5,Strukturalni anomalie provozu (ML),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,467,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T19:14:34.391508485Z,i.ytimg.com,domain,anomaly_ml,142.251.38.150,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,468,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T19:14:34.391508485Z,0.15,down_mb,anomaly_ml,142.251.38.150,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,469,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T19:14:34.391508485Z,UDP/443,service,anomaly_ml,142.251.38.150,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,470,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T19:14:34.391508485Z,4,severity,anomaly_ml,142.251.38.150,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,471,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-03T19:14:34.391508485Z,0.24,total_mb,anomaly_ml,142.251.38.150,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
