#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,old_mac
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:13.840164993Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:13.841317809Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:35.795079656Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:35.819720666Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:40.819483634Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:40.840835288Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:45.858327848Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:45.861001722Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:48.774567235Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:48.775194588Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:25.853741955Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:25.877099017Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:35.889257526Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:35.906080469Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:40.825123488Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:40.90867352Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:45.845724505Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:45.853467698Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:59.880945569Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:59.88511124Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:45:03.903955026Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:45:03.905487287Z,5,severity,anomaly_arp_spoof,08:00:27:b6:5c:c2,home,10:7c:61:06:b1:fc
