#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,vendor
,,0,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-04T20:03:49.403855134Z,10.4.194.126,ip,anomaly_unknown_mac,00:e0:4c:bc:2f:82,home,REALTEK SEMICONDUCTOR CORP.

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,vendor
,,1,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-04T20:03:49.403855134Z,3,severity,anomaly_unknown_mac,00:e0:4c:bc:2f:82,home,REALTEK SEMICONDUCTOR CORP.

#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,vendor
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:44:25.880869317Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:44:59.88721465Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:44:59.888954503Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:46:26.900113982Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T10:46:26.92205665Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T11:48:16.713695832Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T11:48:16.713702703Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T11:48:46.74314083Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:29.884423418Z,2026-04-01T11:48:46.74600846Z,3,severity,anomaly_unknown_mac,08:00:27:b6:5c:c2,home,PCS Computer Systems GmbH

